bigram,frequency
. </s>,24
is a,5
machine learning,4
learning .,3
natural language,3
text .,3
<s> machine,2
learning is,2
a subset,2
subset of,2
deep learning,2
<s> natural,2
language processing,2
data .,2
computer vision,2
of artificial,1
artificial intelligence,1
intelligence .,1
<s> deep,1
of machine,1
processing helps,1
helps computers,1
computers understand,1
understand human,1
human language,1
language .,1
<s> neural,1
neural networks,1
networks are,1
are inspired,1
inspired by,1
by the,1
the human,1
human brain,1
brain .,1
<s> data,1
data science,1
science involves,1
involves extracting,1
extracting insights,1
insights from,1
from data,1
<s> big,1
big data,1
data refers,1
refers to,1
to extremely,1
extremely large,1
large datasets,1
datasets .,1
