Word,Synset,POS,Definition,Examples
good,good.n.01,n,benefit,for your own good; what's the good of worrying?
good,good.n.02,n,moral excellence or admirableness,there is much good to be found in people
good,good.n.03,n,that which is pleasing or valuable or useful,weigh the good against the bad; among the highest goods of all are happiness and self-realization
good,commodity.n.01,n,articles of commerce,N/A
good,good.a.01,a,having desirable or positive qualities especially those suitable for a thing specified,good news from the hospital; a good report card; when she was good she was very very good; a good knife is one good for cutting; this stump will make a good picnic table; a good check; a good joke; a good exterior paint; a good secretary; a good dress for the office
good,full.s.04,s,having the normally expected amount,gives full measure; gives good measure; a good mile from here
good,good.a.03,a,morally admirable,N/A
good,estimable.s.01,s,deserving of esteem and respect,all respectable companies give guarantees; ruined the family's good name
good,beneficial.s.01,s,promoting or enhancing well-being,an arms limitation agreement beneficial to all countries; the beneficial effects of a temperate climate; the experience was good for her
good,good.s.04,s,agreeable or pleasing,we all had a good time; good manners
good,good.s.05,s,of moral excellence,a genuinely good person; a just cause; an upright and respectable man
good,adept.s.01,s,having or showing knowledge and skill and aptitude,adept in handicrafts; an adept juggler; an expert job; a good mechanic; a practiced marksman; a proficient engineer; a lesser-known but no less skillful composer; the effect was achieved by skillful retouching
good,good.s.07,s,thorough,had a good workout; gave the house a good cleaning
good,dear.s.02,s,with or in a close or intimate relationship,a good friend; my sisters and brothers are near and dear
good,dependable.s.03,s,financially sound,a good investment; a secure investment
good,good.s.10,s,most suitable or right for a particular purpose,a good time to plant tomatoes; the right time to act; the time is ripe for great sociological changes
good,good.s.11,s,resulting favorably,it's a good thing that I wasn't there; it is good that you stayed; it is well that no one saw you; all's well that ends well
good,effective.s.03,s,exerting force or influence,the law is effective immediately; a warranty good for two years; the law is already in effect (or in force)
good,good.s.13,s,capable of pleasing,good looks
good,good.s.14,s,appealing to the mind,good music; a serious book
good,good.s.15,s,in excellent physical condition,good teeth; I still have one good leg; a sound mind in a sound body
good,good.s.16,s,tending to promote physical well-being; beneficial to health,beneficial effects of a balanced diet; a good night's sleep; the salutary influence of pure air
good,good.s.17,s,not forged,a good dollar bill
good,good.s.18,s,not left to spoil,the meat is still good
good,good.s.19,s,generally admired,good taste
good,well.r.01,r,(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good' is a nonstandard dialectal variant for `well'),the children behaved well; a task well done; the party went well; he slept well; a well-argued thesis; a well-seasoned dish; a well-planned party; the baby can walk pretty good
good,thoroughly.r.02,r,completely and absolutely (`good' is sometimes used informally for `thoroughly'),he was soundly defeated; we beat him good
happy,happy.a.01,a,enjoying or showing or marked by joy or pleasure,a happy smile; spent many happy days on the beach; a happy marriage
happy,felicitous.s.01,s,marked by good fortune,a felicitous life; a happy outcome
happy,glad.s.01,s,eagerly disposed to act or to be of service,glad to help
happy,happy.s.03,s,well expressed and to the point,a happy turn of phrase; a few well-chosen words
computer,computer.n.01,n,a machine for performing calculations automatically,N/A
computer,calculator.n.01,n,an expert at calculation (or at operating calculating machines),N/A
large,large.n.01,n,a garment size for a large person,N/A
large,large.a.01,a,above average in size or number or quantity or magnitude or extent,a large city; set out for the big city; a large sum; a big (or large) barn; a large family; big businesses; a big expenditure; a large number of newspapers; a big group of scientists; large areas of the world
large,large.s.01,s,fairly large or important in effect; influential,played a large role in the negotiations
large,bombastic.s.01,s,ostentatiously lofty in style,a man given to large talk; tumid political prose
large,big.s.10,s,generous and understanding and tolerant,a heart big enough to hold no grudges; that's very big of you to be so forgiving; a large and generous spirit; a large heart; magnanimous toward his enemies
large,big.s.04,s,conspicuous in position or importance,a big figure in the movement; big man on campus; he's very large in financial circles; a prominent citizen
large,large.s.05,s,having broad power and range and scope,taking the large view; a large effect; a large sympathy
large,big.s.12,s,in an advanced stage of pregnancy,was big with child; was great with child
large,large.r.01,r,"at a distance, wide of something (as of a mark)",N/A
large,large.r.02,r,with the wind abaft the beam,a ship sailing large
large,boastfully.r.01,r,in a boastful manner,he talked big all evening
fast,fast.n.01,n,abstaining from food,N/A
fast,fast.v.01,v,"abstain from certain foods, as for religious or medical reasons",Catholics sometimes fast during Lent
fast,fast.v.02,v,abstain from eating,"Before the medical exam, you must fast"
fast,fast.a.01,a,acting or moving or capable of acting or moving quickly,fast film; on the fast track in school; set a fast pace; a fast car
fast,fast.a.02,a,(used of timepieces) indicating a time ahead of or later than the correct time,my watch is fast
fast,fast.a.03,a,at a rapid tempo,the band played a fast fox trot
fast,fast.s.01,s,(of surfaces) conducive to rapid speeds,a fast road; grass courts are faster than clay
fast,fast.s.02,s,resistant to destruction or fading,fast colors
fast,debauched.s.01,s,unrestrained by convention or morality,Congreve draws a debauched aristocratic society; deplorably dissipated and degraded; riotous living; fast women
fast,flying.s.02,s,hurried and brief,paid a flying visit; took a flying glance at the book; a quick inspection; a fast visit
fast,fast.s.05,s,securely fixed in place,the post was still firm after being hit by the car
fast,firm.s.10,s,unwavering in devotion to friend or vow or cause; ; ; - Campaign song for William Henry Harrison,a firm ally; loyal supporters; the true-hearted soldier...of Tippecanoe; fast friends
fast,fast.s.07,s,(of a photographic lens or emulsion) causing a shortening of exposure time,a fast lens
fast,fast.r.01,r,quickly or rapidly (often used as a combining form),how fast can he get here?; ran as fast as he could; needs medical help fast; fast-running rivers; fast-breaking news; fast-opening (or fast-closing) shutters
fast,fast.r.02,r,firmly or closely,held fast to the rope; her foot was stuck fast; held tight
learn,learn.v.01,v,gain knowledge or skills,She learned dancing from her sister; I learned Sanskrit; Children acquire language at an amazing rate
learn,learn.v.02,v,"get to know or become aware of, usually accidentally",I learned that she has two grown-up children; I see that you have been promoted
learn,memorize.v.01,v,commit to memory; learn by heart,Have you memorized your lines for the play yet?
learn,learn.v.04,v,be a student of a certain subject,She is reading for the bar exam
learn,teach.v.01,v,impart skills or knowledge to,I taught them French; He instructed me in building a boat
learn,determine.v.08,v,"find out, learn, or determine with certainty, usually by making an inquiry or other effort",I want to see whether she speaks French; See whether it works; find out if he speaks Russian; Check whether the train leaves on time
create,make.v.03,v,make or cause to be or to become,make a mess in one's office; create a furor
create,create.v.02,v,bring into existence,The company was created 25 years ago; He created a new movement in painting
create,create.v.03,v,pursue a creative activity; be engaged in a creative activity,Don't disturb him--he is creating
create,create.v.04,v,"invest with a new title, office, or rank",Create one a peer
create,create.v.05,v,create by artistic means,create a poem; Schoenberg created twelve-tone music; Picasso created Cubism; Auden made verses
create,produce.v.02,v,create or manufacture a man-made product,We produce more cars than we can sell; The company has been making toys for two centuries
beautiful,beautiful.a.01,a,delighting the senses or exciting intellectual or emotional admiration,a beautiful child; beautiful country; a beautiful painting; a beautiful theory; a beautiful party
beautiful,beautiful.s.01,s,(of weather) highly enjoyable,what a beautiful day
intelligent,intelligent.a.01,a,having the capacity for thought and reason especially to a high degree,is there intelligent life in the universe?; an intelligent question
intelligent,intelligent.s.01,s,possessing sound knowledge,well-informed readers
intelligent,healthy.s.03,s,exercising or showing good judgment,healthy scepticism; a healthy fear of rattlesnakes; the healthy attitude of French laws; healthy relations between labor and management; an intelligent solution; a sound approach to the problem; sound advice; no sound explanation for his decision
intelligent,intelligent.s.03,s,endowed with the capacity to reason,N/A
efficient,efficient.a.01,a,being effective without wasting time or effort or expense,an efficient production manager; efficient engines save gas
efficient,effective.s.01,s,able to accomplish a purpose; functioning effectively; -G.B.Shaw,people who will do nothing unless they get something out of it for themselves are often highly effective persons...; effective personnel; an efficient secretary; the efficient cause of the revolution
